"Date","Discharge.m3s","Site","Sample"
2001-09-25,4.64564097372211e-06,"CCBP","CCBP_UP_3"
2001-09-26,3.43051880849533e-06,"CCBP","CCBP_UP_3"
2001-09-27,2.5781722462203e-06,"CCBP","CCBP_UP_3"
2001-09-28,3.63832230921526e-06,"CCBP","CCBP_UP_3"
2001-09-29,3.60486242350612e-06,"CCBP","CCBP_UP_3"
2001-09-30,3.28611298596112e-06,"CCBP","CCBP_UP_3"
2001-10-01,3.27906879949603e-06,"CCBP","CCBP_UP_3"
2001-10-02,3.24736996040316e-06,"CCBP","CCBP_UP_3"
2001-10-03,2.82471877249819e-06,"CCBP","CCBP_UP_3"
2001-10-04,2.25061757559395e-06,"CCBP","CCBP_UP_3"
2001-10-05,1.17990123290137e-06,"CCBP","CCBP_UP_3"
2001-10-06,8.45302375809935e-07,"CCBP","CCBP_UP_3"
2001-10-07,9.19266333693304e-07,"CCBP","CCBP_UP_3"
2001-10-08,9.56248312634989e-07,"CCBP","CCBP_UP_3"
2001-10-09,1.0441970524711e-06,"CCBP","CCBP_UP_3"
2001-10-17,2.62381857451404e-06,"CCBP","CCBP_UP_3"
2001-10-18,1.83853266738661e-06,"CCBP","CCBP_UP_3"
2001-10-19,1.23625472462203e-06,"CCBP","CCBP_UP_3"
2001-10-20,1.22392739830813e-06,"CCBP","CCBP_UP_3"
2001-10-21,1.22568844492441e-06,"CCBP","CCBP_UP_3"
2001-10-22,1.57789776817854e-06,"CCBP","CCBP_UP_3"
2001-10-23,1.9230629049676e-06,"CCBP","CCBP_UP_3"
2001-10-24,1.98117744330454e-06,"CCBP","CCBP_UP_3"
2001-10-25,2.3882016596567e-06,"CCBP","CCBP_UP_3"
2001-10-26,2.04457512149028e-06,"CCBP","CCBP_UP_3"
2001-10-27,1.70645417116631e-06,"CCBP","CCBP_UP_3"
2001-10-28,1.86847045986321e-06,"CCBP","CCBP_UP_3"
2001-10-29,1.99350476961844e-06,"CCBP","CCBP_UP_3"
2001-10-30,2.24533443574514e-06,"CCBP","CCBP_UP_3"
2001-10-31,2.33338676655867e-06,"CCBP","CCBP_UP_3"
2001-11-01,3.36183799046077e-06,"CCBP","CCBP_UP_3"
2001-11-02,2.67679085673146e-06,"CCBP","CCBP_UP_3"
2001-11-03,3.15931762958963e-06,"CCBP","CCBP_UP_3"
2001-11-04,3.4076252024838e-06,"CCBP","CCBP_UP_3"
2001-11-05,4.56287178275737e-06,"CCBP","CCBP_UP_3"
2001-11-06,4.83935610151188e-06,"CCBP","CCBP_UP_3"
2001-11-07,4.00462000539957e-06,"CCBP","CCBP_UP_3"
2001-11-08,3.80386069114471e-06,"CCBP","CCBP_UP_3"
2001-11-09,4.35859037526998e-06,"CCBP","CCBP_UP_3"
2001-11-10,4.50651829103672e-06,"CCBP","CCBP_UP_3"
2001-11-11,4.50651829103672e-06,"CCBP","CCBP_UP_3"
2001-11-12,4.66677353311736e-06,"CCBP","CCBP_UP_3"
2001-11-13,4.66149039326854e-06,"CCBP","CCBP_UP_3"
2001-11-14,4.85686593643937e-06,"CCBP","CCBP_UP_3"
2001-11-16,5.47755939524838e-06,"CCBP","CCBP_UP_3"
2001-11-17,5.45220032397408e-06,"CCBP","CCBP_UP_3"
2001-11-18,5.71459626979841e-06,"CCBP","CCBP_UP_3"
2001-11-19,5.74981720212384e-06,"CCBP","CCBP_UP_3"
2001-11-20,6.13548641108712e-06,"CCBP","CCBP_UP_3"
2001-11-21,6.03862884719222e-06,"CCBP","CCBP_UP_3"
2001-11-22,5.94881546976242e-06,"CCBP","CCBP_UP_3"
2001-11-23,5.95938174946004e-06,"CCBP","CCBP_UP_3"
2001-11-24,6.05447826673866e-06,"CCBP","CCBP_UP_3"
2001-11-25,6.36970561105111e-06,"CCBP","CCBP_UP_3"
2001-11-26,7.89477198074154e-06,"CCBP","CCBP_UP_3"
2001-11-27,7.14104402897768e-06,"CCBP","CCBP_UP_3"
2001-11-28,7.10406205003599e-06,"CCBP","CCBP_UP_3"
2001-11-29,8.90385169186465e-06,"CCBP","CCBP_UP_3"
2001-11-30,9.45268569818763e-06,"CCBP","CCBP_UP_3"
2001-12-01,8.36673247390208e-06,"CCBP","CCBP_UP_3"
2001-12-02,8.12018594762419e-06,"CCBP","CCBP_UP_3"
2001-12-03,8.09553129499641e-06,"CCBP","CCBP_UP_3"
2001-12-04,8.0356557100432e-06,"CCBP","CCBP_UP_3"
2001-12-05,8.22584874460043e-06,"CCBP","CCBP_UP_3"
2001-12-06,8.12899118070554e-06,"CCBP","CCBP_UP_3"
2001-12-07,8.65730516558675e-06,"CCBP","CCBP_UP_3"
2001-12-08,8.89856855201584e-06,"CCBP","CCBP_UP_3"
2001-12-09,1.14027768403528e-05,"CCBP","CCBP_UP_3"
